Time [mm:ss]	UTC Time [hh:mm:ss]	Range [m]	Vertical Speed [m/s]	Horizontal Speed [m/s]	Longitude [°]	Latitude [°]	Altitude [m]
47:16.2     	09:43:45.5         	3501.8   	9.5                 	0.6                   	76.30838     	10.0636     	0.0
47:17.1     	09:43:46.4         	14570.2  	7.0                 	3.2                   	76.30836     	10.0636     	14192.1
47:18.2     	09:43:47.5         	14578.0  	8.6                 	3.1                   	76.30834     	10.0635     	14199.8
47:19.1     	09:43:48.4         	14588.7  	10.4                	8.6                   	76.30831     	10.0636     	14209.4
47:22.2     	09:43:51.5         	14618.2  	7.4                 	14.8                  	76.30840     	10.0639     	14235.6
47:23.1     	09:43:52.4         	14626.5  	7.8                 	14.3                  	76.30846     	10.0640     	14243.2
47:24.2     	09:43:53.5         	14633.8  	6.7                 	11.0                  	76.30853     	10.0641     	14250.3
47:25.2     	09:43:54.5         	14641.0  	8.9                 	10.5                  	76.30861     	10.0642     	14258.1
47:27.2     	09:43:56.5         	14649.8  	9.7                 	11.0                  	76.30869     	10.0642     	14268.0
47:28.1     	09:43:57.4         	14676.1  	14.0                	9.0                   	76.30882     	10.0643     	14295.3
47:29.2     	09:43:58.5         	14693.4  	15.9                	3.6                   	76.30884     	10.0644     	14312.9
47:30.1     	09:43:59.4         	14707.4  	13.6                	3.1                   	76.30886     	10.0644     	14327.6
47:31.2     	09:44:00.5         	14711.1  	6.6                 	3.8                   	76.30889     	10.0643     	14332.7
47:32.1     	09:44:01.4         	14711.7  	4.4                 	9.3                   	76.30893     	10.0643     	14335.6
47:34.1     	09:44:03.5         	14724.9  	8.3                 	8.2                   	76.30895     	10.0642     	14350.2
47:35.2     	09:44:04.6         	14737.0  	10.3                	11.4                  	76.30894     	10.0643     	14360.4
47:37.2     	09:44:06.6         	14766.7  	15.0                	5.3                   	76.30899     	10.0644     	14390.3
47:38.1     	09:44:07.5         	14783.8  	16.3                	11.9                  	76.30904     	10.0645     	14407.6
47:39.0     	09:44:08.4         	14802.3  	16.3                	18.6                  	76.30906     	10.0646     	14424.3
47:40.2     	09:44:09.6         	14820.7  	14.1                	15.9                  	76.30898     	10.0648     	14439.3
47:41.0     	09:44:10.4         	14829.8  	6.1                 	11.7                  	76.30886     	10.0648     	14445.4
47:42.2     	09:44:11.6         	3564.4   	0.0                 	10.3                  	76.30877     	10.0648     	0.0
47:44.2     	09:44:13.6         	14843.9  	6.9                 	1.8                   	76.30869     	10.0647     	14458.4
47:45.0     	09:44:14.4         	---      	---                 	---                   	---          	---         	---
47:46.3     	09:44:15.6         	14863.0  	7.8                 	17.7                  	76.30864     	10.0650     	14472.0
47:47.1     	09:44:16.4         	14876.0  	11.3                	16.0                  	76.30863     	10.0651     	14482.5
47:48.3     	09:44:17.6         	14886.5  	9.3                 	6.7                   	76.30868     	10.0652     	14493.2
47:49.1     	09:44:18.4         	14892.7  	7.7                 	7.9                   	76.30874     	10.0652     	14500.6
47:50.3     	09:44:19.6         	14901.1  	9.6                 	14.4                  	76.30883     	10.0653     	14509.7
47:51.2     	09:44:20.5         	14913.1  	12.4                	14.2                  	76.30890     	10.0654     	14521.0
47:52.1     	09:44:21.4         	14926.8  	12.2                	9.9                   	76.30890     	10.0655     	14533.0
47:53.2     	09:44:22.5         	14941.9  	13.4                	9.2                   	76.30890     	10.0656     	14546.9
47:54.1     	09:44:23.4         	14954.5  	11.4                	12.5                  	76.30894     	10.0657     	14558.8
47:55.2     	09:44:24.5         	14968.1  	13.5                	17.6                  	76.30901     	10.0658     	14571.6
47:56.1     	09:44:25.4         	14985.8  	14.6                	19.2                  	76.30897     	10.0660     	14585.9
47:57.2     	09:44:26.5         	15001.5  	10.7                	15.8                  	76.30884     	10.0660     	14597.9
47:58.1     	09:44:27.4         	3666.8   	0.0                 	13.2                  	76.30870     	10.0660     	0.0
47:59.2     	09:44:28.5         	15016.0  	5.5                 	10.7                  	76.30860     	10.0660     	14608.6
48:00.1     	09:44:29.4         	15022.4  	6.7                 	6.0                   	76.30853     	10.0660     	14614.1
48:01.2     	09:44:30.5         	15028.9  	5.9                 	4.9                   	76.30850     	10.0661     	14619.7
48:02.1     	09:44:31.4         	15036.3  	6.5                 	7.1                   	76.30849     	10.0661     	14626.0
48:03.2     	09:44:32.5         	15043.5  	4.9                 	10.1                  	76.30846     	10.0662     	14631.3
48:04.2     	09:44:33.5         	15051.8  	6.3                 	13.9                  	76.30839     	10.0663     	14636.8
48:05.3     	09:44:34.6         	15062.5  	8.3                 	12.7                  	76.30832     	10.0664     	14644.4
48:06.2     	09:44:35.5         	15073.3  	9.3                 	5.0                   	76.30829     	10.0664     	14653.7
48:07.1     	09:44:36.4         	15085.2  	11.6                	12.7                  	76.30832     	10.0665     	14665.0
48:08.2     	09:44:37.5         	15095.9  	9.3                 	15.4                  	76.30837     	10.0666     	14674.5
48:09.1     	09:44:38.4         	15107.6  	9.2                 	16.0                  	76.30838     	10.0668     	14683.8
48:10.2     	09:44:39.5         	15118.1  	8.0                 	13.4                  	76.30837     	10.0669     	14691.7
48:11.1     	09:44:40.4         	15126.5  	6.9                 	12.9                  	76.30836     	10.0670     	14697.8
48:12.2     	09:44:41.5         	15134.3  	6.1                 	10.9                  	76.30836     	10.0671     	14703.5
48:13.1     	09:44:42.4         	15141.8  	6.7                 	9.5                   	76.30837     	10.0672     	14709.8
48:14.2     	09:44:43.5         	15149.8  	8.5                 	6.9                   	76.30841     	10.0673     	14717.6
48:15.1     	09:44:44.4         	15158.7  	9.2                 	4.4                   	76.30844     	10.0673     	14726.6
48:16.2     	09:44:45.5         	15168.8  	10.9                	1.2                   	76.30845     	10.0673     	14736.9
48:17.2     	09:44:46.5         	15179.7  	11.9                	2.0                   	76.30845     	10.0673     	14748.4
48:18.3     	09:44:47.6         	15189.9  	10.4                	6.7                   	76.30849     	10.0673     	14759.5
48:19.2     	09:44:48.5         	15197.5  	8.7                 	7.0                   	76.30855     	10.0674     	14767.8
48:20.3     	09:44:49.6         	---      	---                 	---                   	---          	---         	---
48:21.2     	09:44:50.5         	15206.2  	6.4                 	8.8                   	76.30872     	10.0674     	14778.4
48:22.0     	09:44:51.3         	15213.2  	7.9                 	5.9                   	76.30877     	10.0675     	14785.7
48:23.2     	09:44:52.5         	15222.3  	9.0                 	6.0                   	76.30879     	10.0675     	14794.4
48:24.1     	09:44:53.4         	15232.8  	10.4                	6.0                   	76.30882     	10.0676     	14804.6
48:25.2     	09:44:54.5         	15241.3  	8.8                 	8.3                   	76.30887     	10.0676     	14813.7
48:26.1     	09:44:55.4         	15250.0  	10.6                	13.0                  	76.30896     	10.0677     	14823.2
48:27.2     	09:44:56.5         	15261.7  	10.6                	17.7                  	76.30903     	10.0678     	14833.9
48:28.1     	09:44:57.4         	15275.3  	10.4                	16.6                  	76.30901     	10.0680     	14844.5
48:29.2     	09:44:58.5         	15289.8  	11.6                	14.5                  	76.30894     	10.0681     	14855.4
48:30.2     	09:44:59.5         	15303.8  	10.4                	12.2                  	76.30884     	10.0681     	14866.4
48:31.3     	09:45:00.6         	15314.4  	8.5                 	11.3                  	76.30874     	10.0682     	14874.5
48:32.2     	09:45:01.5         	15321.8  	6.4                 	8.1                   	76.30865     	10.0682     	14880.5
48:33.3     	09:45:02.6         	15329.4  	8.1                 	4.5                   	76.30860     	10.0682     	14887.6
48:34.2     	09:45:03.5         	15338.7  	8.7                 	5.9                   	76.30857     	10.0682     	14896.0
48:35.0     	09:45:04.3         	15348.8  	8.5                 	10.5                  	76.30853     	10.0683     	14904.2
48:36.2     	09:45:05.5         	15358.8  	6.8                 	11.8                  	76.30847     	10.0684     	14911.6
48:37.1     	09:45:06.4         	15367.5  	6.5                 	11.0                  	76.30839     	10.0684     	14917.7
48:38.2     	09:45:07.5         	15377.4  	8.2                 	9.4                   	76.30833     	10.0685     	14925.3
48:39.1     	09:45:08.4         	15390.8  	12.7                	8.4                   	76.30830     	10.0686     	14937.1
48:40.2     	09:45:09.5         	15405.8  	14.0                	7.2                   	76.30832     	10.0686     	14951.6
48:41.1     	09:45:10.4         	15417.8  	11.9                	7.9                   	76.30839     	10.0687     	14964.6
48:42.2     	09:45:11.6         	15423.0  	8.4                 	8.7                   	76.30849     	10.0687     	14971.8
48:43.1     	09:45:12.5         	15425.4  	6.2                 	10.1                  	76.30859     	10.0687     	14976.4
48:44.2     	09:45:13.6         	15427.9  	5.0                 	8.1                   	76.30867     	10.0686     	14980.9
48:45.1     	09:45:14.5         	15432.7  	6.8                 	3.1                   	76.30872     	10.0686     	14986.9
48:46.3     	09:45:15.7         	15441.4  	9.3                 	4.6                   	76.30873     	10.0687     	14995.5
48:47.1     	09:45:16.5         	---      	---                 	---                   	---          	---         	---
48:48.3     	09:45:17.7         	15460.5  	8.3                 	11.9                  	76.30877     	10.0688     	15012.6
48:49.1     	09:45:18.5         	15470.9  	9.4                 	14.1                  	76.30880     	10.0689     	15021.4
48:50.0     	09:45:19.4         	15482.8  	10.0                	13.1                  	76.30881     	10.0691     	15031.3
48:52.1     	09:45:21.5         	15510.2  	13.7                	12.6                  	76.30890     	10.0692     	15057.1
48:53.2     	09:45:22.6         	15524.0  	13.7                	12.5                  	76.30901     	10.0693     	15072.0
48:54.1     	09:45:23.5         	15534.6  	11.6                	10.6                  	76.30911     	10.0693     	15085.0
48:55.2     	09:45:24.6         	15538.3  	6.1                 	9.7                   	76.30918     	10.0692     	15091.5
48:56.1     	09:45:25.5         	15541.2  	6.3                 	8.5                   	76.30921     	10.0691     	15096.9
48:57.2     	09:45:26.6         	15546.4  	7.3                 	4.5                   	76.30923     	10.0691     	15103.7
48:58.1     	09:45:27.5         	15553.3  	8.9                 	7.6                   	76.30928     	10.0691     	15111.8
48:59.2     	09:45:28.6         	15562.7  	11.9                	11.9                  	76.30937     	10.0691     	15122.6
49:00.1     	09:45:29.5         	15574.4  	12.5                	11.5                  	76.30948     	10.0692     	15135.7
49:01.2     	09:45:30.6         	15587.4  	13.8                	9.7                   	76.30956     	10.0692     	15149.8
49:03.0     	09:45:32.4         	15614.4  	10.5                	10.9                  	76.30964     	10.0694     	15175.1
49:04.1     	09:45:33.5         	15625.0  	8.4                 	14.3                  	76.30966     	10.0695     	15183.2
49:05.1     	09:45:34.5         	15636.1  	9.7                 	14.3                  	76.30965     	10.0697     	15191.6
49:07.2     	09:45:36.5         	3901.8   	11.8                	4.7                   	76.30964     	10.0697     	0.0
49:08.3     	09:45:37.6         	15667.4  	9.5                 	7.0                   	76.30969     	10.0697     	15224.3
49:09.2     	09:45:38.5         	15670.5  	7.1                 	9.4                   	76.30976     	10.0696     	15229.8
49:10.3     	09:45:39.6         	15674.1  	6.7                 	8.9                   	76.30983     	10.0696     	15235.9
49:11.2     	09:45:40.5         	15679.5  	8.0                 	4.7                   	76.30987     	10.0695     	15243.2
49:12.3     	09:45:41.6         	15687.9  	9.9                 	1.7                   	76.30989     	10.0695     	15252.3
49:13.2     	09:45:42.5         	15699.0  	11.2                	3.7                   	76.30991     	10.0695     	15263.7
49:14.3     	09:45:43.6         	15711.4  	12.1                	4.3                   	76.30993     	10.0696     	15276.6
49:16.1     	09:45:45.4         	15732.7  	7.3                 	9.1                   	76.30989     	10.0696     	15295.7
49:17.2     	09:45:46.5         	15743.6  	8.1                 	14.5                  	76.30980     	10.0697     	15303.4
49:18.1     	09:45:47.4         	15755.4  	10.1                	9.8                   	76.30974     	10.0698     	15312.4
49:24.1     	09:45:53.4         	---      	---                 	---                   	---          	---         	---
49:25.3     	09:45:54.6         	---      	---                 	---                   	---          	---         	---
49:29.3     	09:45:58.6         	15827.9  	7.8                 	7.9                   	76.30982     	10.0699     	15386.9
49:30.2     	09:45:59.5         	15854.3  	11.9                	7.7                   	76.30995     	10.0698     	15418.9
49:31.1     	09:46:00.4         	15868.6  	14.1                	0.1                   	76.30998     	10.0698     	15434.4
49:32.2     	09:46:01.5         	15881.6  	11.3                	4.4                   	76.30995     	10.0698     	15447.4
49:34.2     	09:46:03.5         	15896.1  	6.0                 	15.4                  	76.30980     	10.0697     	15462.3
49:41.2     	09:46:10.5         	15971.2  	16.6                	12.2                  	76.31003     	10.0695     	15548.0
49:42.3     	09:46:11.6         	3844.1   	14.7                	10.8                  	76.31012     	10.0694     	0.0
49:45.1     	09:46:14.5         	3833.3   	0.0                 	14.9                  	76.31049     	10.0696     	0.0
49:46.1     	09:46:15.5         	16007.3  	9.0                 	2.9                   	76.31054     	10.0696     	15590.3
49:48.1     	09:46:17.4         	16028.1  	10.7                	0.0                   	76.31050     	10.0695     	15613.5
49:50.1     	09:46:19.4         	16046.4  	9.8                 	6.1                   	76.31045     	10.0694     	15633.7
49:54.2     	09:46:23.5         	16085.6  	8.2                 	13.5                  	76.31039     	10.0696     	15669.5
49:56.2     	09:46:25.5         	---      	---                 	---                   	---          	---         	---
49:57.2     	09:46:26.6         	16121.1  	13.8                	2.0                   	76.31053     	10.0697     	15705.5
49:58.1     	09:46:27.5         	---      	---                 	---                   	---          	---         	---
50:05.1     	09:46:34.4         	---      	---                 	---                   	---          	---         	---
50:06.2     	09:46:35.5         	16199.1  	10.0                	15.0                  	76.31139     	10.0695     	15803.4
50:07.1     	09:46:36.4         	16202.5  	7.8                 	17.5                  	76.31155     	10.0695     	15810.2
50:08.3     	09:46:37.6         	---      	---                 	---                   	---          	---         	---
50:10.3     	09:46:39.6         	16215.1  	9.1                 	3.4                   	76.31186     	10.0694     	15831.0
50:11.1     	09:46:40.4         	---      	---                 	---                   	---          	---         	---
50:12.3     	09:46:41.6         	3725.3   	11.6                	0.0                   	76.31189     	10.0694     	0.0
50:13.1     	09:46:42.4         	16250.3  	11.3                	8.8                   	76.31192     	10.0695     	15865.2
50:18.1     	09:46:47.4         	16320.5  	13.8                	10.4                  	76.31199     	10.0696     	15935.7
50:21.2     	09:46:50.5         	16334.8  	3.4                 	21.1                  	76.31245     	10.0695     	15959.7
50:28.1     	09:46:57.5         	16380.1  	6.6                 	12.1                  	76.31291     	10.0695     	16013.6
50:31.1     	09:47:00.4         	16402.1  	9.5                 	5.3                   	76.31308     	10.0695     	16039.0
50:36.3     	09:47:05.6         	16464.7  	9.6                 	12.0                  	76.31333     	10.0699     	16098.4
50:37.2     	09:47:06.5         	3681.3   	8.3                 	10.3                  	76.31335     	10.0699     	0.0
50:42.0     	09:47:11.4         	---      	---                 	---                   	---          	---         	---
50:43.2     	09:47:12.6         	16519.2  	9.1                 	11.5                  	76.31373     	10.0704     	16148.8
50:44.0     	09:47:13.4         	16531.2  	12.3                	1.9                   	76.31379     	10.0704     	16162.0
50:45.2     	09:47:14.6         	16545.6  	12.0                	8.9                   	76.31376     	10.0704     	16175.4
50:46.0     	09:47:15.4         	16565.0  	15.5                	10.4                  	76.31372     	10.0705     	16193.0
50:49.3     	09:47:18.6         	16610.4  	12.0                	18.1                  	76.31393     	10.0705     	16243.2
50:50.1     	09:47:19.4         	16618.3  	12.7                	25.7                  	76.31416     	10.0704     	16254.8
50:51.3     	09:47:20.6         	16635.7  	21.3                	15.7                  	76.31432     	10.0705     	16273.4
50:52.1     	09:47:21.4         	16653.5  	15.1                	8.7                   	76.31435     	10.0706     	16290.2
50:53.3     	09:47:22.6         	16667.8  	14.1                	5.7                   	76.31438     	10.0706     	16304.3
50:54.1     	09:47:23.4         	---      	---                 	---                   	---          	---         	---
51:03.1     	09:47:32.5         	16770.9  	13.5                	9.0                   	76.31484     	10.0713     	16400.8
51:05.1     	09:47:34.5         	16783.5  	2.1                 	20.6                  	76.31517     	10.0714     	16415.9
51:06.2     	09:47:35.6         	16791.8  	7.5                 	21.1                  	76.31524     	10.0716     	16421.8
51:08.2     	09:47:37.6         	16815.0  	9.9                 	2.4                   	76.31521     	10.0717     	16441.7
51:10.0     	09:47:39.4         	16837.8  	13.0                	15.5                  	76.31536     	10.0717     	16468.3
51:11.1     	09:47:40.5         	16849.9  	14.1                	11.0                  	76.31547     	10.0717     	16481.1
51:12.1     	09:47:41.5         	16865.2  	13.2                	5.2                   	76.31546     	10.0718     	16495.9
51:13.2     	09:47:42.6         	16876.0  	10.1                	3.7                   	76.31541     	10.0718     	16506.3
51:14.1     	09:47:43.5         	16889.8  	13.3                	6.4                   	76.31534     	10.0717     	16519.9
51:15.2     	09:47:44.6         	16903.6  	13.0                	11.8                  	76.31533     	10.0718     	16532.6
51:16.1     	09:47:45.5         	---      	---                 	---                   	---          	---         	---
51:18.1     	09:47:47.5         	16927.5  	6.1                 	19.4                  	76.31565     	10.0722     	16551.6
51:21.2     	09:47:50.6         	---      	---                 	---                   	---          	---         	---
51:25.1     	09:47:54.4         	---      	---                 	---                   	---          	---         	---
