Time[sec]	Pressure[mbar]	T[°C] 	U[%]	Geo Pot[m]	Dew [°C]	RI    	GRI     	MRI    	CL [m/s]	D [g/m3]	VP [mbar]	Pot Te [°C]	Vi Te [°C]	Spec U [g/kg]	UTC Time [sec]	Wsp [m/s]	Wdir [°]	N/S Wind [m/s]	E/W Wind [m/s]	Vert Wind [m/s]	Lon [°]    	Lat [°]   	Geometric Height [m]
00000.0  	 1007.0       	  32.6	  63	    32    	  24.6  	 258.1	   ///./	  258.1	 350.7  	 1147.6 	 31.0    	   36.3    	  36.2    	 19.39       	 32190.3      	   0.0   	 360    	 ////./       	 ////./       	 ////./        	   76.33205	  10.04228	    32.1
00001.0  	 1005.7       	  32.4	  63	    51    	  24.4  	 258.0	   ///./	  260.9	 350.6  	 1147.0 	 30.6    	   36.2    	  35.9    	 19.18       	 32191.3      	   4.6   	 313    	 ////./       	 ////./       	 ////./        	   76.33212	  10.04225	    50.8
00002.0  	 1004.3       	  32.1	  63	    69    	  24.2  	 257.8	   ///./	  263.7	 350.4  	 1146.4 	 30.3    	   36.0    	  35.6    	 18.96       	 32192.3      	   4.6   	 313    	 ////./       	 ////./       	 ////./        	   76.33218	  10.04222	    69.5
00003.0  	 1003.0       	  31.9	  63	    80    	  24.0  	 257.7	   ///./	  265.2	 350.3  	 1145.8 	 29.9    	   35.9    	  35.3    	 18.75       	 32193.3      	   4.6   	 313    	 ////./       	 ////./       	 ////./        	   76.33225	  10.04219	    79.9
00004.0  	 1001.6       	  31.6	  63	    88    	  23.8  	 257.6	   ///./	  266.4	 350.2  	 1145.2 	 29.5    	   35.8    	  35.0    	 18.55       	 32194.3      	   4.6   	 313    	 ////./       	 ////./       	 ////./        	   76.33231	  10.04216	    88.2
00005.0  	 1000.3       	  31.4	  64	    96    	  23.6  	 257.5	   ///./	  267.6	 350.0  	 1144.6 	 29.2    	   35.6    	  34.7    	 18.34       	 32195.3      	   4.6   	 313    	 ////./       	 ////./       	 ////./        	   76.33238	  10.04214	    96.6
00006.0  	  998.9       	  31.1	  64	   105    	  23.4  	 257.3	   ///./	  268.8	 349.9  	 1144.0 	 28.8    	   35.5    	  34.4    	 18.13       	 32196.3      	   4.6   	 313    	 ////./       	 ////./       	 ////./        	   76.33244	  10.04211	   104.9
00007.0  	  998.0       	  31.0	  64	   113    	  23.3  	 257.2	   ///./	  270.0	 349.8  	 1143.5 	 28.6    	   35.4    	  34.3    	 18.05       	 32197.3      	   4.5   	 313    	 ////./       	 ////./       	 ////./        	   76.33251	  10.04208	   113.3
00008.0  	  997.1       	  30.9	  64	   121    	  23.3  	 257.1	   ///./	  271.1	 349.8  	 1142.7 	 28.7    	   35.4    	  34.2    	 18.07       	 32198.3      	   4.4   	 313    	 ////./       	 ////./       	 ////./        	   76.33257	  10.04205	   121.5
00009.0  	  996.2       	  30.8	  64	   129    	  23.3  	 256.9	   ///./	  272.2	 349.7  	 1141.9 	 28.7    	   35.5    	  34.1    	 18.10       	 32199.3      	   4.3   	 313    	 ////./       	 ////./       	 ////./        	   76.33264	  10.04202	   129.6
00010.0  	  995.3       	  30.8	  65	   137    	  23.3  	 256.7	   ///./	  273.3	 349.7  	 1141.1 	 28.7    	   35.5    	  34.1    	 18.12       	 32200.3      	   4.3   	 313    	 ////./       	 ////./       	 ////./        	   76.33270	  10.04199	   137.7
00011.0  	  994.4       	  30.7	  65	   145    	  23.3  	 256.6	   ///./	  274.4	 349.6  	 1140.3 	 28.7    	   35.5    	  34.0    	 18.15       	 32201.3      	   4.2   	 313    	 ////./       	 ////./       	 ////./        	   76.33277	  10.04196	   145.8
00012.0  	  993.5       	  30.7	  65	   153    	  23.3  	 256.4	   ///./	  275.5	 349.6  	 1139.5 	 28.7    	   35.5    	  34.0    	 18.17       	 32202.3      	   4.1   	 313    	 ////./       	 ////./       	 ////./        	   76.33283	  10.04193	   153.9
00013.0  	  992.8       	  30.6	  65	   162    	  23.3  	 256.3	   ///./	  276.7	 349.6  	 1138.8 	 28.7    	   35.5    	  33.9    	 18.19       	 32203.3      	   4.1   	 314    	 ////./       	 ////./       	 ////./        	   76.33290	  10.04191	   161.9
00014.0  	  992.0       	  30.5	  66	   168    	  23.3  	 256.1	   ///./	  277.6	 349.5  	 1138.2 	 28.7    	   35.5    	  33.9    	 18.21       	 32204.3      	   4.0   	 314    	 ////./       	 ////./       	 ////./        	   76.33297	  10.04188	   168.9
00015.0  	  991.2       	  30.5	  66	   175    	  23.3  	 256.0	   ///./	  278.5	 349.5  	 1137.5 	 28.7    	   35.5    	  33.8    	 18.23       	 32205.3      	   3.9   	 314    	 ////./       	 ////./       	 ////./        	   76.33302	  10.04185	   175.6
00016.0  	  990.5       	  30.4	  66	   182    	  23.4  	 255.9	   ///./	  279.5	 349.5  	 1136.9 	 28.7    	   35.5    	  33.7    	 18.25       	 32206.3      	   3.9   	 313    	 ////./       	 ////./       	 ////./        	   76.33304	  10.04184	   182.2
00017.0  	  989.7       	  30.3	  66	   188    	  23.4  	 255.7	   ///./	  280.4	 349.4  	 1136.2 	 28.8    	   35.5    	  33.7    	 18.27       	 32207.3      	   3.8   	 313    	 ////./       	 ////./       	 ////./        	   76.33307	  10.04183	   188.9
00018.0  	  988.9       	  30.3	  67	   195    	  23.4  	 255.6	   ///./	  281.3	 349.4  	 1135.6 	 28.8    	   35.5    	  33.6    	 18.29       	 32208.3      	   3.7   	 312    	 ////./       	 ////./       	 ////./        	   76.33309	  10.04182	   195.6
00019.0  	  988.3       	  30.2	  67	   202    	  23.4  	 255.5	   ///./	  282.2	 349.4  	 1135.0 	 28.8    	   35.5    	  33.6    	 18.31       	 32209.3      	   3.7   	 312    	 ////./       	 ////./       	 ////./        	   76.33311	  10.04180	   202.1
00020.0  	  987.6       	  30.2	  67	   208    	  23.4  	 255.4	   ///./	  283.0	 349.3  	 1134.5 	 28.8    	   35.5    	  33.5    	 18.32       	 32210.3      	   3.6   	 311    	 ////./       	 ////./       	 ////./        	   76.33314	  10.04179	   208.2
00021.0  	  986.9       	  30.1	  67	   214    	  23.3  	 255.3	   ///./	  283.9	 349.3  	 1133.9 	 28.7    	   35.5    	  33.4    	 18.31       	 32211.3      	   3.5   	 311    	 ////./       	 ////./       	 ////./        	   76.33316	  10.04178	   214.3
00022.0  	  986.2       	  30.1	  67	   220    	  23.3  	 255.1	   ///./	  284.7	 349.3  	 1133.3 	 28.7    	   35.5    	  33.4    	 18.30       	 32212.3      	   3.5   	 310    	 ////./       	 ////./       	 ////./        	   76.33319	  10.04177	   220.5
00023.0  	  985.5       	  30.0	  67	   226    	  23.3  	 255.0	   ///./	  285.6	 349.2  	 1132.8 	 28.7    	   35.5    	  33.3    	 18.29       	 32213.3      	   3.4   	 310    	 ////./       	 ////./       	 ////./        	   76.33321	  10.04176	   226.6
