Time [mm:ss]	UTC Time [hh:mm:ss]	T [°C]   	U [%r H]	Tu Cap [°C]
47:16.2     	09:43:45.5         	--       	--      	-62.56
47:16.3     	09:43:45.6         	0x49 7808	        	
47:16.7     	09:43:46.0         	-65.69   	43.5    	-62.59
47:17.5     	09:43:46.8         	-66.06   	43.5    	-62.65
47:18.4     	09:43:47.7         	-66.09   	43.5    	-62.70
47:19.3     	09:43:48.6         	-66.12   	43.5    	-62.65
47:20.2     	09:43:49.5         	-66.16   	43.4    	-62.80
47:21.1     	09:43:50.4         	-66.23   	43.5    	-62.87
47:22.0     	09:43:51.3         	-66.32   	43.5    	-62.92
47:22.9     	09:43:52.2         	-66.39   	43.5    	-62.99
47:23.8     	09:43:53.1         	-66.42   	43.5    	-63.06
47:24.7     	09:43:54.0         	-66.52   	43.5    	-63.15
47:25.6     	09:43:54.9         	-66.61   	43.5    	-63.25
47:26.7     	09:43:56.0         	-66.71   	43.4    	-63.38
47:27.4     	09:43:56.7         	-66.78   	43.5    	-63.50
47:28.3     	09:43:57.6         	-66.89   	43.5    	-63.61
47:29.2     	09:43:58.5         	-66.93   	43.5    	-63.69
47:30.1     	09:43:59.4         	-66.98   	43.5    	-63.76
47:31.0     	09:44:00.3         	-67.08   	43.5    	-63.82
47:31.9     	09:44:01.2         	-67.15   	43.5    	-63.76
47:32.8     	09:44:02.2         	-67.14   	43.5    	-63.91
47:33.6     	09:44:03.0         	-67.16   	43.5    	-63.98
47:34.5     	09:44:03.9         	-67.22   	43.5    	-64.04
47:35.5     	09:44:04.9         	-67.25   	43.5    	-64.12
47:36.3     	09:44:05.7         	-67.28   	43.5    	-64.19
47:37.2     	09:44:06.6         	-67.36   	43.5    	-64.29
47:38.1     	09:44:07.5         	-67.55   	43.5    	-64.40
47:39.0     	09:44:08.4         	-67.75   	43.5    	-64.49
47:39.9     	09:44:09.3         	-67.84   	43.5    	-64.56
47:40.8     	09:44:10.2         	-67.90   	43.5    	-64.63
47:41.7     	09:44:11.1         	-67.93   	43.5    	-64.74
47:42.6     	09:44:12.0         	-67.59   	43.5    	-64.74
47:43.5     	09:44:12.9         	-67.59   	43.5    	-64.74
47:44.4     	09:44:13.8         	-67.95   	43.5    	-64.79
47:45.3     	09:44:14.7         	-68.04   	43.5    	-64.85
47:46.3     	09:44:15.6         	-68.12   	43.5    	-64.90
47:47.1     	09:44:16.4         	-68.16   	43.5    	-64.94
47:48.1     	09:44:17.4         	-68.22   	43.5    	-64.99
47:49.0     	09:44:18.3         	-68.33   	43.5    	-65.07
47:49.8     	09:44:19.1         	-68.42   	43.5    	-65.14
47:50.7     	09:44:20.0         	-68.54   	43.6    	-65.22
47:51.6     	09:44:20.9         	-68.53   	43.6    	-65.31
47:52.5     	09:44:21.8         	-68.56   	43.6    	-65.36
47:53.4     	09:44:22.7         	-68.65   	43.6    	-65.44
47:54.3     	09:44:23.6         	-68.85   	43.6    	-65.54
47:55.2     	09:44:24.5         	-69.07   	43.6    	-65.65
47:56.1     	09:44:25.4         	-69.21   	43.6    	-65.74
47:57.0     	09:44:26.3         	-69.27   	43.6    	-65.83
47:57.9     	09:44:27.2         	-69.31   	43.6    	-65.89
47:58.8     	09:44:28.1         	-68.95   	43.6    	-65.94
47:59.7     	09:44:29.0         	-69.27   	43.6    	-65.97
48:00.6     	09:44:29.9         	-69.23   	43.6    	-65.98
48:01.5     	09:44:30.8         	-69.20   	43.6    	-65.99
48:02.4     	09:44:31.7         	-69.18   	43.6    	-66.01
48:03.2     	09:44:32.5         	-69.26   	43.6    	-66.05
48:04.2     	09:44:33.5         	-69.35   	43.6    	-66.09
48:05.1     	09:44:34.4         	-69.40   	43.6    	-66.13
48:05.9     	09:44:35.2         	-69.47   	43.6    	-66.18
48:06.8     	09:44:36.1         	-69.58   	43.6    	-66.25
48:07.8     	09:44:37.1         	-69.70   	43.6    	-66.31
48:08.6     	09:44:37.9         	-69.79   	43.6    	-66.38
48:09.5     	09:44:38.8         	-69.81   	43.6    	-66.44
48:10.4     	09:44:39.7         	-69.83   	43.6    	-66.48
48:11.3     	09:44:40.6         	-69.88   	43.6    	-66.53
48:12.2     	09:44:41.5         	-69.91   	43.6    	-66.59
48:13.1     	09:44:42.4         	-69.96   	43.6    	-66.65
48:14.0     	09:44:43.3         	-70.07   	43.6    	-66.71
48:14.9     	09:44:44.2         	-70.13   	43.6    	-66.78
48:15.8     	09:44:45.1         	-70.20   	43.6    	-66.85
48:16.7     	09:44:46.0         	-70.31   	43.7    	-66.92
48:17.6     	09:44:46.9         	-70.35   	43.7    	-66.97
48:18.5     	09:44:47.8         	-70.41   	43.7    	-67.01
48:19.4     	09:44:48.7         	-70.49   	43.7    	-67.06
48:20.3     	09:44:49.6         	-70.57   	43.7    	-67.09
48:21.2     	09:44:50.5         	-70.60   	43.7    	-67.12
48:22.0     	09:44:51.3         	-70.65   	43.7    	-67.16
48:23.0     	09:44:52.3         	-70.70   	43.6    	-67.22
48:23.9     	09:44:53.2         	-70.74   	43.6    	-67.29
48:24.7     	09:44:54.0         	-70.86   	43.7    	-67.39
